loss,batch,seed,epoch,val_loss
sigmoid,512,42,1,6.805015707015992
sigmoid,512,42,2,6.422012805938721
sigmoid,512,42,3,6.303677701950074
sigmoid,512,42,4,6.082409000396728
sigmoid,512,42,5,5.942115831375122
sigmoid,512,42,6,6.149598073959351
sigmoid,512,42,7,5.861903333663941
sigmoid,512,42,8,5.812352800369263
sigmoid,512,42,9,5.831350374221802
sigmoid,512,42,10,5.5712817192077635
sigmoid,512,42,11,5.655325603485108
sigmoid,512,42,12,5.67579870223999
sigmoid,512,42,13,5.409994840621948
sigmoid,512,42,14,5.4321776866912845
sigmoid,512,42,15,5.207554578781128
sigmoid,512,42,16,5.114749240875244
sigmoid,512,42,17,5.296112871170044
sigmoid,512,42,18,4.983029890060425
sigmoid,512,42,19,4.964778709411621
sigmoid,512,42,20,5.158016920089722
sigmoid,512,42,21,4.8970374584198
sigmoid,512,42,22,4.937658262252808
sigmoid,512,42,23,4.99392261505127
sigmoid,512,42,24,4.867947006225586
sigmoid,512,42,25,4.9336494445800785
sigmoid,512,42,26,4.796493434906006
sigmoid,512,42,27,4.769849395751953
sigmoid,512,42,28,4.7473225593566895
sigmoid,512,42,29,4.754775190353394
sigmoid,512,42,30,4.752646732330322
sigmoid,512,43,1,6.808573913574219
sigmoid,512,43,2,6.501888942718506
sigmoid,512,43,3,6.229209470748901
sigmoid,512,43,4,6.067619276046753
sigmoid,512,43,5,6.037117433547974
sigmoid,512,43,6,5.9241876125335695
sigmoid,512,43,7,5.9324174404144285
sigmoid,512,43,8,5.9159773826599125
sigmoid,512,43,9,5.570161008834839
sigmoid,512,43,10,5.8811304569244385
sigmoid,512,43,11,5.581982612609863
sigmoid,512,43,12,5.486190271377564
sigmoid,512,43,13,5.381155300140381
sigmoid,512,43,14,5.25365948677063
sigmoid,512,43,15,5.179902839660644
sigmoid,512,43,16,5.153056240081787
sigmoid,512,43,17,5.155188989639282
sigmoid,512,43,18,5.1496583938598635
sigmoid,512,43,19,5.118227910995484
sigmoid,512,43,20,4.935076761245727
sigmoid,512,43,21,5.0212602615356445
sigmoid,512,43,22,4.958526754379273
sigmoid,512,43,23,5.0288995742797855
sigmoid,512,43,24,4.893584775924682
sigmoid,512,43,25,4.814863586425782
sigmoid,512,43,26,4.749025964736939
sigmoid,512,43,27,4.806491899490356
sigmoid,512,43,28,4.743578720092773
sigmoid,512,43,29,4.741247081756592
sigmoid,512,43,30,4.731505823135376
sigmoid,512,44,1,6.831369018554687
sigmoid,512,44,2,6.427612400054931
sigmoid,512,44,3,6.2017662048339846
sigmoid,512,44,4,6.113318395614624
sigmoid,512,44,5,5.914295673370361
sigmoid,512,44,6,5.991816902160645
sigmoid,512,44,7,5.910990476608276
sigmoid,512,44,8,5.72475414276123
sigmoid,512,44,9,5.813485765457154
sigmoid,512,44,10,5.655546760559082
sigmoid,512,44,11,5.571138668060303
sigmoid,512,44,12,5.5419580936431885
sigmoid,512,44,13,5.349338722229004
sigmoid,512,44,14,5.329046821594238
sigmoid,512,44,15,5.477052831649781
sigmoid,512,44,16,5.118564701080322
sigmoid,512,44,17,5.230565166473388
sigmoid,512,44,18,5.031524181365967
sigmoid,512,44,19,5.150568723678589
sigmoid,512,44,20,5.151615762710572
sigmoid,512,44,21,4.9199137687683105
sigmoid,512,44,22,4.854428434371949
sigmoid,512,44,23,4.905446529388428
sigmoid,512,44,24,4.748608922958374
sigmoid,512,44,25,4.7738199710845945
sigmoid,512,44,26,4.796334362030029
sigmoid,512,44,27,4.715586519241333
sigmoid,512,44,28,4.760073328018189
sigmoid,512,44,29,4.717590427398681
sigmoid,512,44,30,4.723450183868408
softmax,512,42,1,5.662776279449463
softmax,512,42,2,5.2408284664154055
softmax,512,42,3,4.941653156280518
softmax,512,42,4,4.819447135925293
softmax,512,42,5,4.601079225540161
softmax,512,42,6,4.575978469848633
softmax,512,42,7,4.441863679885865
softmax,512,42,8,4.353798246383667
softmax,512,42,9,4.244044160842895
softmax,512,42,10,4.211812925338745
softmax,512,42,11,4.225494909286499
softmax,512,42,12,3.9823017835617067
softmax,512,42,13,3.8762717247009277
softmax,512,42,14,3.8065876007080077
softmax,512,42,15,3.855929136276245
softmax,512,42,16,3.7036391735076903
softmax,512,42,17,3.5517642498016357
softmax,512,42,18,3.493144702911377
softmax,512,42,19,3.507736420631409
softmax,512,42,20,3.4646376848220823
softmax,512,42,21,3.411257028579712
softmax,512,42,22,3.3535884618759155
softmax,512,42,23,3.2846203804016114
softmax,512,42,24,3.270760941505432
softmax,512,42,25,3.242588019371033
softmax,512,42,26,3.220366096496582
softmax,512,42,27,3.2198365688323975
softmax,512,42,28,3.186310648918152
softmax,512,42,29,3.178161287307739
softmax,512,42,30,3.179011821746826
softmax,512,43,1,5.67205228805542
softmax,512,43,2,5.324175596237183
softmax,512,43,3,4.938459968566894
softmax,512,43,4,4.852151489257812
softmax,512,43,5,4.682428407669067
softmax,512,43,6,4.477846240997314
softmax,512,43,7,4.3265351295471195
softmax,512,43,8,4.3480123519897464
softmax,512,43,9,4.398708772659302
softmax,512,43,10,4.263458108901977
softmax,512,43,11,4.114947032928467
softmax,512,43,12,3.9528126955032348
softmax,512,43,13,3.9878361225128174
softmax,512,43,14,3.939706826210022
softmax,512,43,15,3.742464232444763
softmax,512,43,16,3.64901282787323
softmax,512,43,17,3.5975320100784303
softmax,512,43,18,3.6451310396194456
softmax,512,43,19,3.4954120397567747
softmax,512,43,20,3.4665011167526245
softmax,512,43,21,3.3913010120391847
softmax,512,43,22,3.3345149517059327
softmax,512,43,23,3.29056453704834
softmax,512,43,24,3.2803915977478026
softmax,512,43,25,3.2292739868164064
softmax,512,43,26,3.2116443634033205
softmax,512,43,27,3.1925167083740233
softmax,512,43,28,3.184246134757996
softmax,512,43,29,3.1757522344589235
softmax,512,43,30,3.1751550436019897
softmax,512,44,1,5.6596643924713135
softmax,512,44,2,5.1861189842224125
softmax,512,44,3,4.975344657897949
softmax,512,44,4,4.877592372894287
softmax,512,44,5,4.638195610046386
softmax,512,44,6,4.589192867279053
softmax,512,44,7,4.458388090133667
softmax,512,44,8,4.376005840301514
softmax,512,44,9,4.47731499671936
softmax,512,44,10,4.253145790100097
softmax,512,44,11,3.9751518249511717
softmax,512,44,12,3.8703134298324584
softmax,512,44,13,3.9223363637924193
softmax,512,44,14,3.7013339757919312
softmax,512,44,15,3.784544277191162
softmax,512,44,16,3.605021071434021
softmax,512,44,17,3.5591889142990114
softmax,512,44,18,3.4700525522232057
softmax,512,44,19,3.501672697067261
softmax,512,44,20,3.442841720581055
softmax,512,44,21,3.4023741245269776
softmax,512,44,22,3.365843152999878
softmax,512,44,23,3.3022736310958862
softmax,512,44,24,3.2688698768615723
softmax,512,44,25,3.256691098213196
softmax,512,44,26,3.2448965311050415
softmax,512,44,27,3.2195067405700684
softmax,512,44,28,3.205740451812744
softmax,512,44,29,3.1991089820861816
softmax,512,44,30,3.1987818241119386
sigmoid,128,42,1,5.372563314437866
sigmoid,128,42,2,5.024674677848816
sigmoid,128,42,3,4.71373997926712
sigmoid,128,42,4,4.734596401453018
sigmoid,128,42,5,4.553849625587463
sigmoid,128,42,6,4.496368658542633
sigmoid,128,42,7,4.547869795560837
sigmoid,128,42,8,4.372370582818985
sigmoid,128,42,9,4.447345286607742
sigmoid,128,42,10,4.423935657739639
sigmoid,128,42,11,4.376731413602829
sigmoid,128,42,12,4.260838133096695
sigmoid,128,42,13,4.45175147652626
sigmoid,128,42,14,4.386115843057633
sigmoid,128,42,15,4.160793143510818
sigmoid,128,42,16,4.115381035208702
sigmoid,128,42,17,3.978082460165024
sigmoid,128,42,18,4.185008728504181
sigmoid,128,42,19,4.1403300821781155
sigmoid,128,42,20,4.061171525716782
sigmoid,128,42,21,4.098437532782555
sigmoid,128,42,22,4.147780883312225
sigmoid,128,42,23,4.005529648065567
sigmoid,128,42,24,3.793728399276733
sigmoid,128,42,25,4.087405309081078
sigmoid,128,42,26,3.864091846346855
sigmoid,128,42,27,3.832540935277939
sigmoid,128,42,28,3.842542001605034
sigmoid,128,42,29,3.8585799098014832
sigmoid,128,42,30,3.883804214000702
sigmoid,128,43,1,5.1814093589782715
sigmoid,128,43,2,4.9669344305992125
sigmoid,128,43,3,4.8258885681629184
sigmoid,128,43,4,4.679219287633896
sigmoid,128,43,5,4.627121913433075
sigmoid,128,43,6,4.600587236881256
sigmoid,128,43,7,4.414196050167083
sigmoid,128,43,8,4.404329931735992
sigmoid,128,43,9,4.2883429527282715
sigmoid,128,43,10,4.326229429244995
sigmoid,128,43,11,4.286144042015076
sigmoid,128,43,12,4.349029225111008
sigmoid,128,43,13,4.366409033536911
sigmoid,128,43,14,4.11516797542572
sigmoid,128,43,15,4.0890402615070345
sigmoid,128,43,16,3.922097218036652
sigmoid,128,43,17,4.038666939735412
sigmoid,128,43,18,3.978927958011627
sigmoid,128,43,19,4.267551600933075
sigmoid,128,43,20,4.1950650155544285
sigmoid,128,43,21,4.277831935882569
sigmoid,128,43,22,4.061498689651489
sigmoid,128,43,23,4.004625582695008
sigmoid,128,43,24,4.108294981718063
sigmoid,128,43,25,3.968721109628677
sigmoid,128,43,26,3.9118826568126677
sigmoid,128,43,27,3.8347973048686983
sigmoid,128,43,28,3.8627010762691496
sigmoid,128,43,29,3.908773824572563
sigmoid,128,43,30,3.87335718870163
sigmoid,128,44,1,5.237470054626465
sigmoid,128,44,2,4.971837824583053
sigmoid,128,44,3,4.82443653345108
sigmoid,128,44,4,4.620851719379425
sigmoid,128,44,5,4.657627958059311
sigmoid,128,44,6,4.510516965389252
sigmoid,128,44,7,4.460812115669251
sigmoid,128,44,8,4.357691705226898
sigmoid,128,44,9,4.3083415746688845
sigmoid,128,44,10,4.359429377317428
sigmoid,128,44,11,4.557111746072769
sigmoid,128,44,12,4.281990242004395
sigmoid,128,44,13,4.1431287825107574
sigmoid,128,44,14,4.316626620292664
sigmoid,128,44,15,4.029375636577607
sigmoid,128,44,16,4.049409800767899
sigmoid,128,44,17,3.9424143195152284
sigmoid,128,44,18,4.102494701743126
sigmoid,128,44,19,4.159154698252678
sigmoid,128,44,20,4.416232347488403
sigmoid,128,44,21,4.052203607559204
sigmoid,128,44,22,3.784041500091553
sigmoid,128,44,23,3.8904227912425995
sigmoid,128,44,24,3.996251440048218
sigmoid,128,44,25,3.9862543880939483
sigmoid,128,44,26,3.942733734846115
sigmoid,128,44,27,3.8410520434379576
sigmoid,128,44,28,3.9961391389369965
sigmoid,128,44,29,3.848839658498764
sigmoid,128,44,30,3.825525575876236
softmax,128,42,1,3.917189598083496
softmax,128,42,2,3.643062686920166
softmax,128,42,3,3.365676212310791
softmax,128,42,4,3.168159556388855
softmax,128,42,5,3.0377001762390137
softmax,128,42,6,2.9255192160606383
softmax,128,42,7,2.774449622631073
softmax,128,42,8,2.792198324203491
softmax,128,42,9,2.6532085716724394
softmax,128,42,10,2.822938674688339
softmax,128,42,11,2.53600389957428
softmax,128,42,12,2.47158682346344
softmax,128,42,13,2.4117287516593935
softmax,128,42,14,2.3445871114730834
softmax,128,42,15,2.3816911816596984
softmax,128,42,16,2.2473376274108885
softmax,128,42,17,2.284881350398064
softmax,128,42,18,2.2567005515098573
softmax,128,42,19,2.1735978335142137
softmax,128,42,20,2.1561314880847933
softmax,128,42,21,2.1432782143354414
softmax,128,42,22,2.1156298190355303
softmax,128,42,23,2.0676765590906143
softmax,128,42,24,2.051930083334446
softmax,128,42,25,2.042453905940056
softmax,128,42,26,2.025118890404701
softmax,128,42,27,2.0288561940193177
softmax,128,42,28,2.0181780084967613
softmax,128,42,29,2.0127563640475272
softmax,128,42,30,2.010967829823494
softmax,128,43,1,3.929354953765869
softmax,128,43,2,3.6919483184814452
softmax,128,43,3,3.439672517776489
softmax,128,43,4,3.2208036184310913
softmax,128,43,5,3.0314773619174957
softmax,128,43,6,3.15082888007164
softmax,128,43,7,2.853475791215897
softmax,128,43,8,2.8393330574035645
softmax,128,43,9,2.8029691338539124
softmax,128,43,10,2.5964349091053007
softmax,128,43,11,2.6135352492332458
softmax,128,43,12,2.566779339313507
softmax,128,43,13,2.4614733666181565
softmax,128,43,14,2.4053893968462945
softmax,128,43,15,2.370383059978485
softmax,128,43,16,2.269541269540787
softmax,128,43,17,2.26835013628006
softmax,128,43,18,2.1813041418790817
softmax,128,43,19,2.190273606777191
softmax,128,43,20,2.168261358141899
softmax,128,43,21,2.135973908007145
softmax,128,43,22,2.1105488508939745
softmax,128,43,23,2.0898265451192857
softmax,128,43,24,2.0713358119130136
softmax,128,43,25,2.0668738022446633
softmax,128,43,26,2.04826180934906
softmax,128,43,27,2.04857636988163
softmax,128,43,28,2.0399558395147324
softmax,128,43,29,2.032543684542179
softmax,128,43,30,2.0335066489875318
softmax,128,44,1,3.9283672332763673
softmax,128,44,2,3.7794307708740233
softmax,128,44,3,3.3101359844207763
softmax,128,44,4,3.21591659784317
softmax,128,44,5,2.9688254833221435
softmax,128,44,6,2.8330555081367494
softmax,128,44,7,2.7626000463962557
softmax,128,44,8,2.6928338170051576
softmax,128,44,9,2.586183416843414
softmax,128,44,10,2.6325591444969176
softmax,128,44,11,2.477575969696045
softmax,128,44,12,2.4488720536231994
softmax,128,44,13,2.4273233294486998
softmax,128,44,14,2.367205780744553
softmax,128,44,15,2.3061246037483216
softmax,128,44,16,2.312092882394791
softmax,128,44,17,2.2731308847665788
softmax,128,44,18,2.232017454504967
softmax,128,44,19,2.2397467255592347
softmax,128,44,20,2.185220494866371
softmax,128,44,21,2.128319483995438
softmax,128,44,22,2.0983060359954835
softmax,128,44,23,2.0671212896704674
softmax,128,44,24,2.0539907246828077
softmax,128,44,25,2.0553701877593995
softmax,128,44,26,2.036545217037201
softmax,128,44,27,2.0300819098949434
softmax,128,44,28,2.024364173412323
softmax,128,44,29,2.023601096868515
softmax,128,44,30,2.023518741130829
